cgpa,current_semester,total_semesters,min_cgpa_required,cgpa_gap,skills_overlap_count,skills_overlap_pct,location_match,type_preference_match,graduation_year_match,financial_need,is_scholarship,days_until_deadline,urgency_score,quality_signal,match_score
3.56,2,6,3.0,0.56,6,0.75,1,1,1,0,0,27,0.3415,0.75,0.9354
2.39,5,9,3.5,-1.11,8,1.0,1,1,0,0,1,49,0.2222,0.0,0.3817
2.93,2,6,3.0,-0.07,5,0.625,1,1,1,0,0,56,0.2,0.0,0.6675
2.09,3,7,3.0,-0.91,0,0.0,1,0,1,0,0,3,0.8235,0.0,0.2442
2.31,4,7,2.8,-0.49,4,0.5,1,1,1,0,0,59,0.1918,0.0,0.595
3.37,6,6,3.2,0.17,3,0.375,1,1,1,0,1,28,0.3333,0.375,0.7855
3.49,8,8,2.8,0.69,4,0.5,1,0,1,0,1,73,0.1609,0.5,0.808
3.94,3,7,2.8,1.14,0,0.0,1,1,1,0,0,16,0.4667,0.0,0.7343
2.65,8,8,3.0,-0.35,2,0.25,0,0,1,1,0,26,0.35,0.0,0.3476
2.74,8,9,2.8,-0.06,8,1.0,1,1,1,1,0,88,0.1373,0.0,0.7276
2.94,4,6,0.0,2.94,0,0.0,1,1,1,0,0,23,0.3784,0.0,0.7642
2.38,8,9,2.8,-0.42,8,1.0,1,0,1,0,1,12,0.5385,0.0,0.5631
2.26,5,7,2.5,-0.24,4,0.5,1,1,1,0,0,50,0.2188,0.0,0.6387
2.95,4,7,3.2,-0.25,5,0.625,0,1,1,0,0,57,0.1972,0.0,0.5276
2.45,6,8,2.8,-0.35,8,1.0,1,1,1,0,0,52,0.2121,0.0,0.6121
3.34,8,9,3.2,0.14,1,0.125,0,1,1,1,1,37,0.2745,0.125,0.6798
2.87,8,9,2.8,0.07,8,1.0,1,0,1,0,0,10,0.5833,1.0,0.7967
3.67,2,6,3.0,0.67,2,0.25,1,1,1,0,0,26,0.35,0.25,0.7887
3.4,8,8,0.0,3.4,3,0.375,1,1,1,1,0,6,0.7,0.375,0.7854
2.62,4,7,3.5,-0.88,4,0.5,1,0,0,1,0,77,0.1538,0.0,0.1899
3.66,7,7,2.8,0.86,5,0.625,1,1,1,0,0,24,0.3684,0.625,0.8276
3.61,7,10,2.5,1.11,2,0.25,0,0,0,0,1,60,0.1892,0.25,0.3815
2.77,2,6,2.5,0.27,7,0.875,1,0,1,0,0,24,0.3684,0.875,0.8743
2.58,8,8,2.5,0.08,0,0.0,1,1,1,1,1,56,0.2,0.0,0.723
3.36,6,8,2.8,0.56,5,0.625,1,1,1,0,0,9,0.6087,0.625,0.8182
2.28,4,7,3.0,-0.72,5,0.625,0,1,1,0,1,9,0.6087,0.0,0.5662
2.4,5,9,3.5,-1.1,4,0.5,0,1,1,0,0,29,0.3256,0.0,0.4847
2.01,4,8,3.0,-0.99,5,0.625,1,0,1,0,1,24,0.3684,0.0,0.4773
3.57,5,9,2.8,0.77,6,0.75,1,1,1,1,0,29,0.3256,0.75,1.0
3.33,7,7,2.8,0.53,8,1.0,1,0,0,0,1,25,0.359,1.0,0.6537
3.41,6,10,3.2,0.21,1,0.125,1,0,1,0,0,63,0.1818,0.125,0.6008
3.56,5,9,3.2,0.36,4,0.5,0,0,0,0,0,40,0.2593,0.5,0.5192
2.92,7,7,2.5,0.42,5,0.625,1,0,1,1,1,14,0.5,0.625,0.8752
3.14,10,10,3.5,-0.36,3,0.375,1,1,1,0,0,83,0.1443,0.0,0.5346
2.28,7,10,2.8,-0.52,8,1.0,0,1,1,1,0,58,0.1944,0.0,0.5353
2.23,7,8,3.2,-0.97,4,0.5,0,1,1,0,0,37,0.2745,0.0,0.3904
3.34,4,6,3.5,-0.16,5,0.625,0,1,1,0,0,46,0.2333,0.0,0.5497
2.94,6,8,3.0,-0.06,1,0.125,0,0,1,0,1,30,0.3182,0.0,0.3882
3.13,6,9,2.5,0.63,3,0.375,1,1,1,0,1,36,0.28,0.375,0.8209
3.53,6,7,2.8,0.73,5,0.625,1,1,0,0,0,7,0.6667,0.625,0.6428
3.27,6,6,0.0,3.27,3,0.375,1,1,1,0,0,75,0.1573,0.375,0.7675
3.11,7,8,3.0,0.11,6,0.75,1,1,1,0,0,35,0.2857,0.75,0.9991
3.12,10,10,2.5,0.62,1,0.125,1,0,1,0,0,63,0.1818,0.125,0.6245
2.61,3,7,3.0,-0.39,1,0.125,1,1,1,1,1,5,0.7368,0.0,0.4973
2.06,7,8,3.2,-1.14,3,0.375,1,1,0,0,0,9,0.6087,0.0,0.2785
2.87,6,6,2.5,0.37,2,0.25,1,0,0,1,0,33,0.2979,0.25,0.4792
2.43,7,9,2.8,-0.37,7,0.875,1,1,1,1,0,4,0.7778,0.0,0.619
2.82,10,10,3.0,-0.18,7,0.875,1,1,0,1,0,88,0.1373,0.0,0.4867
3.71,6,9,2.8,0.91,4,0.5,1,1,1,0,0,4,0.7778,0.5,0.9354
2.47,8,8,2.5,-0.03,4,0.5,1,1,1,0,0,51,0.2154,0.0,0.6695
2.12,6,6,0.0,2.12,2,0.25,1,1,1,1,0,32,0.3043,0.25,0.8108
2.56,7,8,2.8,-0.24,4,0.5,1,1,1,0,1,19,0.4242,0.0,0.6819
2.59,9,10,3.0,-0.41,6,0.75,0,1,1,0,0,13,0.5185,0.0,0.5963
3.32,4,6,2.8,0.52,6,0.75,1,1,1,0,1,27,0.3415,0.75,0.9557
3.11,4,7,2.5,0.61,8,1.0,1,0,1,0,0,5,0.7368,1.0,0.9129
3.57,8,10,2.8,0.77,5,0.625,1,1,1,0,0,52,0.2121,0.625,0.8779
3.33,8,8,2.8,0.53,3,0.375,1,1,1,0,0,22,0.3889,0.375,0.7509
2.81,2,6,2.5,0.31,0,0.0,0,1,0,1,0,2,0.875,0.0,0.391
3.63,3,6,3.0,0.63,6,0.75,0,1,1,0,1,11,0.56,0.75,0.8611
2.33,6,8,2.5,-0.17,7,0.875,1,1,1,0,0,81,0.1474,0.0,0.7471
2.05,5,8,2.8,-0.75,4,0.5,1,1,1,1,0,22,0.3889,0.0,0.598
2.18,9,10,3.5,-1.32,8,1.0,0,0,1,0,0,53,0.209,0.0,0.3816
3.44,7,10,2.8,0.64,2,0.25,0,0,1,0,0,37,0.2745,0.25,0.5915
2.92,7,8,3.0,-0.08,0,0.0,0,1,0,0,0,45,0.2373,0.0,0.2148
2.32,4,8,0.0,2.32,5,0.625,1,1,0,0,0,77,0.1538,0.625,0.7362
3.0,7,10,2.5,0.5,1,0.125,0,1,1,0,0,65,0.1772,0.125,0.6213
2.3,8,9,0.0,2.3,0,0.0,1,1,1,0,0,50,0.2188,0.0,0.7158
3.39,5,7,3.0,0.39,6,0.75,1,1,1,1,0,19,0.4242,0.75,0.9361
2.89,8,9,3.2,-0.31,3,0.375,1,1,1,1,0,77,0.1538,0.0,0.501
2.76,8,9,2.5,0.26,5,0.625,1,1,1,0,0,2,0.875,0.625,0.8433
2.6,4,7,2.5,0.1,6,0.75,0,1,1,1,0,51,0.2154,0.75,0.7871
3.26,8,10,2.5,0.76,3,0.375,1,0,1,0,1,56,0.2,0.375,0.6959
2.72,7,7,2.8,-0.08,5,0.625,1,0,1,1,0,86,0.14,0.0,0.5622
2.18,8,8,3.0,-0.82,4,0.5,0,1,1,0,0,15,0.4828,0.0,0.4474
2.24,4,8,3.0,-0.76,5,0.625,1,1,1,1,0,26,0.35,0.0,0.5777
3.92,8,9,3.2,0.72,6,0.75,1,1,0,0,0,2,0.875,0.75,0.7712
3.82,8,10,2.5,1.32,3,0.375,0,1,1,0,0,23,0.3784,0.375,0.6748
3.4,3,7,3.0,0.4,4,0.5,0,1,0,1,0,84,0.1429,0.5,0.5566
2.53,6,7,2.8,-0.27,5,0.625,1,0,1,0,0,1,0.9333,0.0,0.5698
3.94,5,9,2.5,1.44,1,0.125,1,1,1,0,1,71,0.1647,0.125,0.691
3.56,7,10,3.2,0.36,1,0.125,1,0,0,0,1,85,0.1414,0.125,0.4488
3.43,9,10,0.0,3.43,0,0.0,0,1,1,1,0,11,0.56,0.0,0.5995
2.9,9,9,3.0,-0.1,1,0.125,1,0,1,0,0,33,0.2979,0.0,0.4301
2.54,7,9,3.0,-0.46,3,0.375,0,1,0,0,1,81,0.1474,0.0,0.1773
2.19,9,9,3.2,-1.01,8,1.0,1,1,1,1,0,65,0.1772,0.0,0.6426
3.81,10,10,2.8,1.01,8,1.0,1,1,1,0,1,7,0.6667,1.0,1.0
2.91,4,6,2.5,0.41,6,0.75,1,1,1,0,0,78,0.1522,0.75,0.883
2.4,4,8,3.2,-0.8,5,0.625,1,1,1,1,1,73,0.1609,0.0,0.606
2.61,5,6,3.0,-0.39,1,0.125,1,1,0,1,0,29,0.3256,0.0,0.2357
3.16,4,8,2.8,0.36,3,0.375,0,1,1,1,0,38,0.2692,0.375,0.7001
2.35,7,7,3.0,-0.65,6,0.75,1,0,1,0,0,28,0.3333,0.0,0.5181
3.71,4,7,2.5,1.21,8,1.0,0,0,0,0,0,47,0.2295,1.0,0.4606
3.52,9,10,2.8,0.72,8,1.0,1,0,1,1,0,71,0.1647,1.0,0.8804
3.44,8,9,3.2,0.24,3,0.375,0,0,1,0,0,61,0.1867,0.375,0.6332
2.86,6,8,2.5,0.36,4,0.5,1,1,1,1,0,88,0.1373,0.5,0.914
3.25,10,10,2.8,0.45,4,0.5,0,1,1,0,1,9,0.6087,0.5,0.7572
3.17,5,6,3.5,-0.33,0,0.0,1,1,1,1,1,84,0.1429,0.0,0.4888
3.3,9,9,3.0,0.3,1,0.125,0,1,1,0,1,82,0.1458,0.125,0.5847
2.17,2,6,3.2,-1.03,0,0.0,1,1,1,1,1,35,0.2857,0.0,0.3734
2.83,5,7,2.8,0.03,6,0.75,1,0,0,0,1,13,0.5185,0.75,0.6127
2.08,6,6,3.5,-1.42,2,0.25,1,1,1,1,1,21,0.4,0.0,0.4766
2.99,8,8,2.5,0.49,6,0.75,1,1,0,0,0,85,0.1414,0.75,0.7509
2.66,7,9,2.8,-0.14,3,0.375,0,1,0,0,0,1,0.9333,0.0,0.2247
2.29,5,9,2.8,-0.51,7,0.875,1,0,1,0,1,9,0.6087,0.0,0.4608
2.21,5,8,3.0,-0.79,1,0.125,1,1,1,0,0,7,0.6667,0.0,0.3792
3.18,8,10,3.2,-0.02,2,0.25,0,1,1,0,0,16,0.4667,0.0,0.5208
2.34,6,7,3.0,-0.66,1,0.125,1,1,1,0,0,72,0.1628,0.0,0.5111
3.85,6,6,3.0,0.85,3,0.375,1,0,1,1,0,6,0.7,0.375,0.7309
3.16,2,6,2.8,0.36,5,0.625,1,0,1,1,0,87,0.1386,0.625,0.73
2.69,3,6,2.8,-0.11,1,0.125,1,1,0,1,0,36,0.28,0.0,0.2928
3.18,5,8,2.8,0.38,6,0.75,1,1,0,0,0,48,0.2258,0.75,0.7638
2.05,8,8,0.0,2.05,8,1.0,1,0,0,0,0,54,0.2059,1.0,0.5962
3.92,6,10,2.8,1.12,0,0.0,1,1,1,0,0,74,0.1591,0.0,0.7439
2.96,3,6,3.2,-0.24,0,0.0,1,1,0,0,0,57,0.1972,0.0,0.3309
3.57,4,7,3.0,0.57,8,1.0,0,1,1,0,0,6,0.7,1.0,0.875
2.17,6,10,3.0,-0.83,5,0.625,1,1,1,1,0,75,0.1573,0.0,0.4726
2.97,5,6,2.8,0.17,8,1.0,1,1,1,0,0,8,0.6364,1.0,1.0
2.98,6,8,2.8,0.18,6,0.75,0,1,1,0,1,48,0.2258,0.75,0.807
3.88,4,6,0.0,3.88,6,0.75,1,1,1,0,0,78,0.1522,0.75,0.9436
3.14,8,8,2.8,0.34,1,0.125,1,0,0,0,1,46,0.2333,0.125,0.4
2.95,8,10,2.8,0.15,4,0.5,1,1,1,0,1,38,0.2692,0.5,0.8016
2.53,4,7,2.5,0.03,3,0.375,1,0,1,0,1,30,0.3182,0.375,0.6795
2.66,4,7,0.0,2.66,7,0.875,1,1,1,0,1,71,0.1647,0.875,0.8953
3.04,8,8,3.0,0.04,0,0.0,1,1,0,0,0,59,0.1918,0.0,0.4739
2.88,7,9,2.8,0.08,0,0.0,1,1,1,1,0,73,0.1609,0.0,0.7173
2.04,6,10,2.8,-0.76,5,0.625,1,1,1,1,0,82,0.1458,0.0,0.5681
3.65,5,6,2.5,1.15,8,1.0,0,1,1,0,0,54,0.2059,1.0,0.8493
3.79,7,8,2.8,0.99,8,1.0,1,0,1,0,0,32,0.3043,1.0,0.8146
2.28,6,9,2.8,-0.52,5,0.625,1,0,1,0,0,54,0.2059,0.0,0.4141
3.11,4,6,2.8,0.31,3,0.375,0,1,1,1,0,33,0.2979,0.375,0.6622
2.22,8,10,2.8,-0.58,2,0.25,1,1,1,0,0,19,0.4242,0.0,0.3845
3.34,3,7,0.0,3.34,8,1.0,1,1,0,0,0,31,0.3111,1.0,0.7529
2.56,4,8,3.2,-0.64,1,0.125,1,1,0,0,0,44,0.2414,0.0,0.1334
3.32,9,10,0.0,3.32,1,0.125,1,1,0,1,0,21,0.4,0.125,0.5093
3.45,8,9,2.8,0.65,4,0.5,1,1,0,0,0,29,0.3256,0.5,0.6066
3.54,9,10,2.5,1.04,3,0.375,1,1,1,0,1,52,0.2121,0.375,0.7405
2.22,6,9,2.8,-0.58,4,0.5,1,1,0,0,0,13,0.5185,0.0,0.3667
3.83,5,7,2.5,1.33,8,1.0,1,1,1,0,1,10,0.5833,1.0,0.951
2.46,9,9,3.2,-0.74,2,0.25,1,1,0,0,0,70,0.1667,0.0,0.1946
2.07,6,9,2.8,-0.73,7,0.875,1,1,1,1,0,76,0.1556,0.0,0.5776
3.11,6,7,3.0,0.11,1,0.125,0,0,1,1,0,29,0.3256,0.125,0.5167
2.74,2,6,2.5,0.24,2,0.25,1,0,1,1,0,13,0.5185,0.25,0.6577
3.66,5,9,0.0,3.66,0,0.0,1,1,1,1,0,42,0.25,0.0,0.6863
3.62,8,8,2.8,0.82,6,0.75,1,1,1,0,0,16,0.4667,0.75,0.9473
2.63,5,9,2.8,-0.17,7,0.875,1,1,1,1,0,79,0.1505,0.0,0.7218
3.91,5,6,2.8,1.11,7,0.875,1,1,1,1,0,7,0.6667,0.875,0.9341
2.58,6,8,3.5,-0.92,1,0.125,1,1,1,0,0,46,0.2333,0.0,0.4009
3.03,10,10,3.0,0.03,6,0.75,0,1,1,1,1,35,0.2857,0.75,0.876
2.51,8,10,3.5,-0.99,1,0.125,1,1,1,1,0,42,0.25,0.0,0.469
3.87,9,10,2.5,1.37,5,0.625,1,1,0,1,0,69,0.1687,0.625,0.6671
2.33,7,7,3.0,-0.67,6,0.75,0,1,0,1,0,24,0.3684,0.0,0.3054
2.09,6,6,2.8,-0.71,1,0.125,1,0,0,0,0,82,0.1458,0.0,0.1104
2.87,7,8,3.0,-0.13,0,0.0,1,0,1,1,1,89,0.1359,0.0,0.4571
3.98,4,8,3.5,0.48,0,0.0,1,1,0,0,0,40,0.2593,0.0,0.4712
3.78,3,7,3.0,0.78,6,0.75,1,1,0,1,0,35,0.2857,0.75,0.7559
3.5,4,6,3.2,0.3,5,0.625,0,1,1,1,0,22,0.3889,0.625,0.79
3.78,5,6,3.0,0.78,1,0.125,1,1,1,0,0,74,0.1591,0.125,0.7896
3.79,6,7,0.0,3.79,4,0.5,1,1,1,0,0,66,0.175,0.5,0.8947
3.04,8,9,3.0,0.04,7,0.875,1,1,1,1,0,41,0.2545,0.875,0.9741
2.63,2,6,2.8,-0.17,2,0.25,0,1,0,0,1,62,0.1842,0.0,0.3187
3.54,2,6,3.2,0.34,5,0.625,1,1,1,0,0,34,0.2917,0.625,0.8436
3.32,3,7,3.2,0.12,2,0.25,0,0,0,0,0,62,0.1842,0.25,0.3322
2.75,8,10,0.0,2.75,2,0.25,0,1,1,1,0,74,0.1591,0.25,0.6424
2.19,9,10,0.0,2.19,3,0.375,1,1,1,0,0,40,0.2593,0.375,0.8163
3.49,4,8,0.0,3.49,3,0.375,1,1,0,0,0,60,0.1892,0.375,0.6456
2.52,6,6,2.8,-0.28,4,0.5,1,1,1,1,1,51,0.2154,0.0,0.7394
3.87,3,6,0.0,3.87,1,0.125,0,1,1,0,0,7,0.6667,0.125,0.5996
2.48,9,10,3.0,-0.52,3,0.375,1,0,0,1,0,6,0.7,0.0,0.2371
2.25,7,8,2.8,-0.55,5,0.625,1,0,0,0,1,24,0.3684,0.0,0.2223
3.66,2,6,3.2,0.46,3,0.375,1,1,0,0,1,23,0.3784,0.375,0.5428
2.31,10,10,2.5,-0.19,5,0.625,1,0,0,1,0,18,0.4375,0.0,0.3701
2.36,8,8,2.8,-0.44,1,0.125,1,1,1,0,1,84,0.1429,0.0,0.4917
3.2,7,7,0.0,3.2,1,0.125,0,0,1,1,0,55,0.2029,0.125,0.4725
3.75,4,8,3.2,0.55,7,0.875,0,0,0,0,1,4,0.7778,0.875,0.5056
2.39,4,7,2.5,-0.11,4,0.5,1,1,0,1,0,82,0.1458,0.0,0.4615
2.62,7,10,0.0,2.62,5,0.625,1,0,1,0,0,28,0.3333,0.625,0.8021
3.55,7,9,2.5,1.05,6,0.75,1,1,1,1,1,89,0.1359,0.75,0.8689
3.94,6,6,3.2,0.74,1,0.125,1,1,1,0,0,21,0.4,0.125,0.7453
3.0,8,9,0.0,3.0,8,1.0,1,1,0,1,1,8,0.6364,1.0,0.7753
2.29,5,6,3.0,-0.71,3,0.375,1,0,1,0,0,12,0.5385,0.0,0.399
2.03,6,8,3.0,-0.97,8,1.0,1,0,0,1,0,35,0.2857,0.0,0.2201
2.46,9,9,3.0,-0.54,3,0.375,0,1,1,0,0,84,0.1429,0.0,0.311
2.26,6,6,2.5,-0.24,3,0.375,1,1,1,0,0,50,0.2188,0.0,0.6147
3.36,9,9,0.0,3.36,5,0.625,1,1,1,1,0,12,0.5385,0.625,0.9199
2.24,7,7,2.8,-0.56,1,0.125,0,0,0,0,0,29,0.3256,0.0,0.0
3.01,8,9,2.5,0.51,5,0.625,0,0,1,1,0,45,0.2373,0.625,0.7671
3.39,4,8,3.0,0.39,8,1.0,1,0,0,1,0,49,0.2222,1.0,0.6091
3.16,3,6,2.8,0.36,5,0.625,1,1,1,0,0,76,0.1556,0.625,0.8298
2.4,8,9,2.8,-0.4,0,0.0,0,0,0,1,0,5,0.7368,0.0,0.0279
3.61,4,7,0.0,3.61,6,0.75,0,0,1,0,0,1,0.9333,0.75,0.7535
3.43,6,10,2.8,0.63,0,0.0,0,1,0,0,1,65,0.1772,0.0,0.4113
3.48,10,10,2.5,0.98,0,0.0,0,1,1,0,0,10,0.5833,0.0,0.5703
2.26,4,6,3.0,-0.74,2,0.25,1,1,1,0,0,62,0.1842,0.0,0.4927
2.25,9,9,0.0,2.25,2,0.25,1,0,1,1,0,31,0.3111,0.25,0.7042
3.86,4,7,3.5,0.36,0,0.0,1,1,0,1,0,35,0.2857,0.0,0.5645
2.8,6,9,3.0,-0.2,0,0.0,0,0,1,1,0,14,0.5,0.0,0.3004
2.6,5,8,2.5,0.1,7,0.875,1,1,1,1,0,70,0.1667,0.875,0.9572
2.98,4,7,0.0,2.98,4,0.5,0,1,1,0,1,17,0.4516,0.5,0.7892
3.33,7,9,2.5,0.83,1,0.125,1,0,0,0,1,1,0.9333,0.125,0.406
3.91,4,7,2.5,1.41,3,0.375,1,1,0,0,0,54,0.2059,0.375,0.5803
2.57,10,10,2.5,0.07,6,0.75,1,1,1,1,0,14,0.5,0.75,0.8549
3.85,7,10,3.2,0.65,6,0.75,1,1,1,0,0,16,0.4667,0.75,0.9408
2.05,4,6,3.0,-0.95,2,0.25,0,0,0,1,0,20,0.4118,0.0,0.0938
3.11,9,9,2.5,0.61,1,0.125,0,1,1,0,0,58,0.1944,0.125,0.6039
3.27,8,10,2.8,0.47,8,1.0,1,0,0,0,0,68,0.1707,1.0,0.6187
2.21,2,6,2.5,-0.29,5,0.625,1,1,1,1,0,83,0.1443,0.0,0.5928
2.28,5,9,3.5,-1.22,8,1.0,1,0,1,0,1,89,0.1359,0.0,0.5181
2.84,8,10,0.0,2.84,2,0.25,0,1,1,0,0,21,0.4,0.25,0.6838
3.93,6,7,3.0,0.93,1,0.125,1,1,1,0,0,20,0.4118,0.125,0.7618
3.19,8,8,3.0,0.19,3,0.375,0,1,1,1,0,20,0.4118,0.375,0.6308
3.87,5,9,0.0,3.87,2,0.25,0,1,1,0,1,17,0.4516,0.25,0.6637
3.61,5,7,2.5,1.11,6,0.75,1,1,1,0,0,2,0.875,0.75,0.9146
2.93,4,7,2.8,0.13,6,0.75,1,1,1,0,1,53,0.209,0.75,0.9785
3.57,5,7,3.2,0.37,0,0.0,1,1,0,0,1,2,0.875,0.0,0.5496
2.04,5,7,2.8,-0.76,5,0.625,1,1,1,0,0,4,0.7778,0.0,0.6169
2.22,6,9,3.0,-0.78,3,0.375,0,0,0,0,0,36,0.28,0.0,0.0909
3.66,3,7,3.0,0.66,5,0.625,0,1,1,0,0,73,0.1609,0.625,0.8028
3.59,3,7,3.2,0.39,3,0.375,0,0,1,1,0,45,0.2373,0.375,0.6062
2.47,8,10,2.8,-0.33,4,0.5,1,1,0,1,0,36,0.28,0.0,0.4029
3.06,5,8,2.8,0.26,6,0.75,0,1,0,1,1,17,0.4516,0.75,0.6895
3.21,7,10,3.0,0.21,2,0.25,0,0,1,0,1,62,0.1842,0.25,0.6073
3.74,5,9,2.5,1.24,1,0.125,1,1,1,0,0,30,0.3182,0.125,0.7918
3.21,6,10,3.2,0.01,6,0.75,1,1,0,0,0,90,0.1346,0.75,0.7462
2.83,2,6,0.0,2.83,8,1.0,1,1,1,0,0,13,0.5185,1.0,0.951
2.75,7,10,2.5,0.25,3,0.375,0,1,1,0,0,71,0.1647,0.375,0.6967
2.85,6,10,3.2,-0.35,8,1.0,1,0,1,0,0,62,0.1842,0.0,0.534
3.3,3,6,2.5,0.8,1,0.125,1,0,1,0,1,33,0.2979,0.125,0.6161
3.73,4,7,0.0,3.73,7,0.875,0,0,1,0,0,36,0.28,0.875,0.7364
2.91,5,8,2.5,0.41,8,1.0,1,1,1,0,0,87,0.1386,1.0,0.9958
2.5,4,8,2.8,-0.3,2,0.25,0,0,1,0,0,67,0.1728,0.0,0.4318
2.47,5,9,3.2,-0.73,1,0.125,1,1,1,1,0,4,0.7778,0.0,0.4866
3.49,9,9,0.0,3.49,5,0.625,1,1,1,0,1,50,0.2188,0.625,0.8703
3.63,6,7,0.0,3.63,7,0.875,0,1,1,1,1,67,0.1728,0.875,0.9053
2.21,5,9,2.8,-0.59,0,0.0,1,1,1,0,0,34,0.2917,0.0,0.4099
2.13,7,10,3.5,-1.37,5,0.625,1,1,0,1,0,63,0.1818,0.0,0.348
3.19,5,8,2.5,0.69,7,0.875,1,1,0,0,1,57,0.1972,0.875,0.7889
2.29,10,10,3.5,-1.21,0,0.0,1,1,1,0,0,30,0.3182,0.0,0.335
3.65,9,9,3.2,0.45,4,0.5,1,1,1,1,0,1,0.9333,0.5,0.9134
2.62,9,10,2.5,0.12,0,0.0,0,1,1,0,1,4,0.7778,0.0,0.6798
2.29,6,10,3.2,-0.91,1,0.125,0,1,1,0,0,63,0.1818,0.0,0.3545
3.84,4,6,3.0,0.84,4,0.5,1,1,1,0,0,70,0.1667,0.5,0.9149
2.33,8,10,2.8,-0.47,2,0.25,1,1,1,1,0,34,0.2917,0.0,0.5437
2.57,5,6,2.8,-0.23,0,0.0,1,1,1,1,0,43,0.2456,0.0,0.4962
2.31,10,10,3.2,-0.89,7,0.875,1,1,1,0,1,47,0.2295,0.0,0.57
2.23,7,10,3.0,-0.77,1,0.125,1,0,1,1,0,80,0.1489,0.0,0.2703
2.04,5,7,3.0,-0.96,7,0.875,1,1,1,0,0,48,0.2258,0.0,0.5545
2.11,3,6,3.5,-1.39,1,0.125,1,0,0,0,0,52,0.2121,0.0,0.1379
2.35,5,8,2.8,-0.45,4,0.5,1,1,0,0,1,51,0.2154,0.0,0.4387
2.11,4,7,3.2,-1.09,6,0.75,1,0,1,0,0,12,0.5385,0.0,0.5174
3.18,7,8,3.2,-0.02,4,0.5,1,1,0,1,0,64,0.1795,0.0,0.4922
3.36,4,6,2.5,0.86,3,0.375,1,0,0,1,0,82,0.1458,0.375,0.5005
2.79,5,6,0.0,2.79,6,0.75,1,0,1,1,0,10,0.5833,0.75,0.8603
2.64,7,8,2.8,-0.16,0,0.0,1,1,1,1,0,7,0.6667,0.0,0.4353
3.01,6,9,3.2,-0.19,7,0.875,0,1,1,0,0,45,0.2373,0.0,0.6326
3.75,7,7,2.5,1.25,6,0.75,1,0,0,1,0,69,0.1687,0.75,0.6205
3.7,3,7,3.0,0.7,6,0.75,1,0,1,0,0,8,0.6364,0.75,0.8659
2.09,6,6,0.0,2.09,3,0.375,1,0,1,1,0,67,0.1728,0.375,0.6978
2.36,3,7,2.8,-0.44,3,0.375,0,1,1,0,0,22,0.3889,0.0,0.3814
2.47,4,7,3.0,-0.53,5,0.625,1,1,1,1,1,17,0.4516,0.0,0.547
2.5,7,7,0.0,2.5,5,0.625,1,1,1,1,0,18,0.4375,0.625,0.8414
3.14,6,7,3.2,-0.06,8,1.0,1,1,1,0,0,48,0.2258,0.0,0.6621
2.83,4,7,2.5,0.33,7,0.875,0,1,1,0,0,54,0.2059,0.875,0.7975
